"DATE","nomcapital","cpi","nomlabor","nomoutput","labor","cap","output","capelast","labelast","gamma","year","F0","prod","wage","capprice","c0","labprod","capprod","prodprod","outputind","prodind","c0ind","wageind","cappriceind","gammaind","capelastind","labelastind","part.output","part.cost","part.cap","part.lab","part.tech","part.noncost"
"1987-01-01",1133.05,49.48955,2268.61,3618.3,148.046,43.295,7311.24045379277,0.313144294281845,0.626982284498245,0.05987342121991,1987,-4.73580791522546,9.31967840047408,15.3236831795523,26.1704584825038,-150.278116206525,49.3849239681773,168.870318831107,0.655399589269007,-0.233177736034394,-0.054198183392641,-2.40221355781566,-0.858371956806118,-0.456503736973475,-0.0135928296771342,-0.138036752865462,0.0782144290399221,0.532703901163193,8.30046215822853,0.0829779593225018,0.119985359634979,0.283549022124878,1.01921624224555
"1988-01-01",1201.47,51.50761,2461.27,3895.72,152.429,44.97,7563.38723540075,0.308407688437567,0.631788218865832,0.0598040926966004,1988,-4.7390670717763,9.32053402861169,16.1469930262614,26.7171447631755,-150.400154031132,49.6190832151411,168.187396829014,0.6774228462611,-0.228447428842782,-0.0533425552550284,-2.52425138242245,-0.806037666634306,-0.435829487461476,-0.0147514187687019,-0.153278269809898,0.085850384453052,0.534114802245201,8.29825904599396,0.0822906421620287,0.122453931754585,0.283415606455916,1.02227498261773
"1989-01-01",1321.14,53.99388,2613.91,4184.09,157.28,46.848,7749.19305669457,0.315753246225583,0.624726045567853,0.0595207082065635,1989,-4.73606147728713,9.31685006689407,16.6194684638861,28.2005635245902,-151.013623208491,49.2700474103165,165.411395506629,0.69662636636711,-0.23550659200943,-0.0570265169726518,-3.13772055978154,-0.777196701442794,-0.381793011868741,-0.0195012280400486,-0.129739799094003,0.0746093697464942,0.533028416828267,8.29550157293404,0.084424564577638,0.122001779316177,0.281893733237954,1.02134849396003
"1990-01-01",1361.77,56.90845,2767.44,4393.14,157.314,48.5,7719.66201855788,0.309976463304151,0.629945779101053,0.0600777575947955,1990,-4.73667368299436,9.29858679037877,17.5918227239788,28.0777319587629,-149.200179275604,49.0716784174192,159.16828904243,0.706762265124066,-0.239540876750175,-0.0752897934879471,-1.32427662689469,-0.72033733252304,-0.38615816755849,-0.0101858340217436,-0.148204471499788,0.0829298939577453,0.537787600845639,8.26630275612853,0.0839182344826109,0.126009465589411,0.284568733332583,1.03228403425024
"1991-01-01",1389.76,59.3185,2821.39,4496.2,154.325,50.035,7579.76010856647,0.309096570437258,0.627505449045861,0.0633979805168809,1991,-4.71981015352414,9.28159970718901,18.2821318645715,27.7757569701209,-140.749470472696,49.1155684987297,151.489159759498,0.705842695656465,-0.238646868910821,-0.09227687667771,7.12643217601331,-0.681847326628558,-0.396971383950607,0.0436064907639429,-0.151047087512541,0.0790484979015874,0.56634917451302,8.19373170103733,0.088148445580728,0.134143953901434,0.2992264321565,1.08786800615168
"1992-01-01",1453.97,61.11515,2997.46,4754.01,154.663,51.375,7778.77498459875,0.305840753385037,0.630511925721654,0.063647320893309,1992,-4.72049384464299,9.2963275417882,19.3805887639578,28.3011192214112,-140.347651971121,50.2949961180033,151.411678532336,0.71378506312053,-0.214917339418342,-0.0775490420785179,7.52825067758806,-0.623499522664691,-0.378233620427713,0.0475317157632267,-0.161636288555482,0.0838282131262618,0.570226158976523,8.20005426507656,0.0881338564508199,0.137466474779419,0.300446786504883,1.09627327671164
"1993-01-01",1564.62,62.91906,3137.31,5018.53,158.78,53.175,7976.16811185672,0.311768585621686,0.625145211844903,0.0630862025334111,1993,-4.71981061814648,9.29724837204583,19.7588487215014,29.4239774330042,-141.616081233359,50.2340856018184,149.998460025514,0.731224331398977,-0.216129138483778,-0.076628211820891,6.25982141534993,-0.604170081102578,-0.339325071851774,0.0386765681853469,-0.142439641417743,0.0752801048966597,0.566779905438703,8.20708157310181,0.0894377213000571,0.136194243629522,0.297754928575733,1.09016679894402
"1994-01-01",1692.15,64.55964,3304.51,5348.68,165.317,55.215,8284.86652032136,0.316367776722481,0.617817854124756,0.065814369152763,1994,-4.70270035924749,9.30013069172925,19.9889303580394,30.6465634338495,-135.444825808864,50.1150306400513,150.047387853325,0.757338570164186,-0.218501954948635,-0.0737458921374667,12.4310768398454,-0.592592870414827,-0.298614439534699,0.0810126735465952,-0.127795454045539,0.0634898227839305,0.59378946803843,8.1602425740517,0.0952246410562927,0.141368751124486,0.309505257458346,1.13988811767755
"1995-01-01",1807.5,66.37081,3463.51,5632.02,169.597,57.71,8485.68821142909,0.320932809187467,0.61496763150699,0.0640995593055422,1995,-4.70889686183397,9.29662221760702,20.4220003891578,31.3203950788425,-139.145199385421,50.0344240253607,147.040170012634,0.778422429192741,-0.220111681778715,-0.0772543662596981,8.73070326328798,-0.57115873845387,-0.276865487444599,0.0546119716685687,-0.113469057224106,0.0588657779203991,0.579853349194295,8.18261882663533,0.0942344774044323,0.138077350714162,0.301838213658808,1.1140033909717
"1996-01-01",1905.73,68.31627,3686.7,5969.35,173.373,60.541,8737.81604294263,0.319252514930436,0.617604931860253,0.0631425532093111,1996,-4.7149398577153,9.29633145295261,21.2645567648942,31.4783369947639,-141.295644418288,50.3989435664298,144.328901784619,0.801784110546195,-0.212852716945994,-0.0775451309141104,6.58025823042149,-0.530729823564291,-0.271835377959055,0.0395694024577233,-0.118718468768819,0.0631451273986309,0.57304490968895,8.19501554643246,0.0925487627324053,0.138008893254306,0.29771334084449,1.10131590652015
